search_day,flight_count,avg_price,median_price,std_price
Monday,1571281,392.2886490449512,361.6,213.37544900785042
Tuesday,1145409,397.0748386209642,366.7,223.0667448837549
Wednesday,1565325,407.42206317537887,377.6,219.7744033273409
Thursday,2064489,403.79836902981805,371.71,219.62682372151042
Friday,1966143,399.43467626210304,368.6,216.49881229961616
Saturday,1785497,399.09936584603616,368.6,216.97946758069722
Sunday,1676789,400.37788764119995,367.6,223.5169100135798
